Nume,Prenume,Varsta
34,Marinescu,Florentin,23
35,Muscalu,Gabriela,36
36,Simionescu,Flavian,19
37,Zgorea,Severina,55
38,Florea,Laura,51
39,Radu,Adrian,33
40,Radu,Sorin,36
41,Popescu,Valentin-Robert,40
42,Sarbu,Vasilica-Oana,28
43,Ilinca,Vasile Marin,37
44,Oprea,Simona,31
45,Oprescu,Silvian,66
46,Sandu,Paul,31
47,Sandu,Pavel,31
48,Luca,Iulia-Stefania,28
49,Rosca,Florin-Gheorghe,53
16,Stefan,Viorel,72
52,Popescu,Mihai,34
53,Vasilescu,Nicolae,32
54,Viorescu,Marius,28
55,Andreescu,Cristina,45
58,Vasile,Silviu Mihai,45
62,Vasilescu,Viorica,62
65,Simion,Flavia,43
68,Florea,Flavian,31
7,Popescu,Cristian,35
6,Oprea,Simona,31
10,Luca,Iulia,29
